case_id,symptom,topology_note,concept_tag,severity,show_outputs,expected_fault
NET-001,"PC1 cannot reach Server1 in VLAN 30","Router-on-a-stick topology; Gi0/0.10 = VLAN 10, Gi0/0.30 = VLAN 30","interface administratively down",high,"GigabitEthernet0/0.10 is up, line protocol is up | GigabitEthernet0/0.30 is administratively down, line protocol is down","Gi0/0.30 administratively down - needs 'no shutdown'"
NET-002,"PC2 cannot reach any external website","Router1 configured with NAT overload for inside VLAN 20 to ISP interface Gi0/1","NAT misconfiguration",medium,"show ip nat translations: (empty) | show run (partial): interface GigabitEthernet0/1 ip nat outside | interface Vlan20 (no ip nat inside statement present)","Missing 'ip nat inside' on Vlan20 interface"
NET-003,"PC3 cannot ping its default gateway despite correct IP configuration","PC3 connects via straight-through cable to Switch1 Fa0/3, uplinked to Router1 Fa0/0","line protocol down",medium,"FastEthernet0/3 is up, line protocol is down (not connect) | show interfaces status: Fa0/3 notconnect auto auto","Physical layer issue - bad cable, wrong port, or duplex/speed mismatch on Fa0/3"
NET-004,"Hosts in VLAN 30 on Switch2 cannot reach Server1 even though interface is up","Switch2 access port Fa0/5 assigned VLAN 30; router sub-interface Gi0/0.30 configured with 'encapsulation dot1Q 20'","VLAN ID mismatch",high,"show vlan brief (Switch2): VLAN0030 active Fa0/5 | show run (Router1): interface GigabitEthernet0/0.30 encapsulation dot1Q 20","VLAN mismatch - sub-interface encapsulated for VLAN 20 instead of VLAN 30"
NET-005,"Server1 (VLAN 30) can be pinged from PC1 but SSH connection is refused","ACL 110 applied inbound on Router1 Gi0/0.30 to control access to Server1","missing ACL entry",medium,"show access-lists 110: 10 permit icmp any host 192.168.30.10 | 20 deny ip any any (implicit/explicit) - no permit tcp eq 22 entry present","Missing 'permit tcp any host 192.168.30.10 eq 22' entry in ACL 110"
NET-006,"OSPF neighbors on Router1 and Router2 are not forming an adjacency","Both routers configured for OSPF area 0 on the 10.0.12.0/30 link","incorrect wildcard mask",high,"show run (Router1): router ospf 1 network 10.0.12.0 255.255.255.252 area 0 | show ip ospf neighbor: (empty)","Wildcard mask used instead of inverse mask - should be 0.0.0.3 not 255.255.255.252"
NET-007,"PC4 can reach all internal VLANs but not the internet","Router1 has static routes to internal subnets but no route to ISP","missing default route",high,"show ip route: 192.168.10.0/24 is directly connected | 192.168.20.0/24 is directly connected | (no 0.0.0.0/0 gateway of last resort entry)","Missing default route 'ip route 0.0.0.0 0.0.0.0 <isp-next-hop>'"
NET-008,"Trunk between Switch1 and Switch2 is not passing VLAN 40 traffic","Switch1 Gi0/1 configured as trunk; Switch2 Gi0/1 configured as access port","trunk misconfiguration",high,"show interfaces trunk (Switch1): Gi0/1 lists as trunk, allowed vlans 1,10,20,30,40 | show interfaces switchport (Switch2): Gi0/1 Administrative Mode: static access","Switch2 Gi0/1 set to access mode instead of trunk - needs 'switchport mode trunk'"
NET-009,"Two hosts on the same VLAN intermittently lose connectivity and show duplicate IP warnings","PC5 and Server2 both configured with static IP addressing on VLAN 20","duplicate IP address",medium,"PC5: IP Address 192.168.20.50 | Server2 show run int Vlan20-equivalent: ip address 192.168.20.50 255.255.255.0 | Windows event log: 'Duplicate IP address detected'","Duplicate static IP 192.168.20.50 assigned to both PC5 and Server2"
NET-010,"Internal hosts can reach some external sites but NAT translations disappear intermittently","Router1 configured with NAT overload but access-list reference is incorrect","NAT overload misconfiguration",medium,"show run (partial): ip nat inside source list 5 interface GigabitEthernet0/1 overload | access-list 5 permit 192.168.10.0 (missing wildcard mask, defaults to host route)","access-list 5 missing wildcard mask - only matches host 192.168.10.0, not the subnet"
